ville,latitude,longitude,dates,snowfall_sum,apparent_temperature_max,apparent_temperature_min,rain_sum,windspeed_10m_max
Avignon,43.94,4.7999997,2023-02-02,0.0,3.8,-2.0,0.0,41.4
Strasbourg,48.58,7.7399993,2023-02-02,0.0,4.9,2.7,0.0,19.1
Eguisheim,48.04,7.2999997,2023-02-02,0.0,5.4,0.3,0.3,27.0
Annecy,45.9,6.1199994,2023-02-02,0.0,5.5,-4.7,0.0,10.9
Colmar,48.08,7.36,2023-02-02,0.0,6.0,-0.4,0.0,13.7
Carcassonne,43.22,2.3499994,2023-02-03,0.0,4.8,-0.8,0.0,26.8
Avignon,43.94,4.7999997,2023-02-03,0.0,5.3,-1.1,0.0,46.9
Annecy,45.9,6.1199994,2023-02-03,0.0,5.7,-5.4,0.0,14.7
Strasbourg,48.58,7.7399993,2023-02-03,0.0,6.3,3.1,0.0,16.2
Dijon,47.32,5.02,2023-02-03,0.0,6.8,0.4,0.0,14.0
Carcassonne,43.22,2.3499994,2023-02-04,0.0,0.1,-2.6,0.0,39.0
Avignon,43.94,4.7999997,2023-02-04,0.0,4.7,-1.3,0.0,52.8
Toulouse,43.6,1.44,2023-02-04,0.0,4.8,-0.7,0.0,12.3
Montauban,44.02,1.3599997,2023-02-04,0.0,5.1,-2.1,0.0,12.2
Lyon,45.74,4.8399997,2023-02-04,0.0,5.5,1.2,0.0,20.6
Annecy,45.9,6.1199994,2023-02-05,0.21,4.7,-5.2,0.6,29.4
Eguisheim,48.04,7.2999997,2023-02-05,0.14,7.1,-0.4,1.0,21.5
Carcassonne,43.22,2.3499994,2023-02-05,0.0,2.1,-3.0,0.0,34.7
La Rochelle,46.16,-1.1500006,2023-02-05,0.0,4.4,-0.6,0.0,24.1
Lille,50.64,3.06,2023-02-05,0.0,4.7,1.1,0.2,21.3
Eguisheim,48.04,7.2999997,2023-02-06,0.07,0.2,-3.8,0.0,21.3
Carcassonne,43.22,2.3499994,2023-02-06,0.0,0.5,-3.1,5.9,34.2
Colmar,48.08,7.36,2023-02-06,0.0,0.7,-4.3,0.0,21.1
Dijon,47.32,5.02,2023-02-06,0.0,0.8,-3.9,0.0,22.2
Annecy,45.9,6.1199994,2023-02-06,0.0,1.1,-5.4,0.0,25.2
Dijon,47.32,5.02,2023-02-07,0.0,1.4,-4.1,0.0,10.0
Strasbourg,48.58,7.7399993,2023-02-07,0.0,1.5,-5.9,0.0,9.4
Eguisheim,48.04,7.2999997,2023-02-07,0.0,1.7,-5.5,0.0,7.7
Colmar,48.08,7.36,2023-02-07,0.0,2.0,-6.0,0.0,8.4
Annecy,45.9,6.1199994,2023-02-07,0.0,2.0,-4.8,0.0,7.9
Eguisheim,48.04,7.2999997,2023-02-08,0.0,0.1,-4.1,0.0,7.9
Colmar,48.08,7.36,2023-02-08,0.0,0.6,-5.1,0.0,8.5
Strasbourg,48.58,7.7399993,2023-02-08,0.0,1.5,-4.1,0.0,10.3
Dijon,47.32,5.02,2023-02-08,0.0,1.9,-4.0,0.0,6.8
Annecy,45.9,6.1199994,2023-02-08,0.0,2.2,-5.6,0.0,7.6
