ville,hotel,url,distance,adresse,score,description,latitude_hotel,longitude_hotel
Aigues-Mortes,Au Cœur des Remparts,https://www.booking.com/hotel/fr/au-coeur-des-remparts-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,300 m du centre,"15 rue Roger Salengro, 30220 Aigues-Mortes, France",9.9,"Situé à Aigues-Mortes, à 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, l'établissement Au Cœur des Remparts propose des hébergements avec une connexion Wi-Fi gratuite et une télévision à écran plat. Offrant une vue sur la ville, il se trouve à 28 km du Zénith Sud de Montpellier et à 29 km du centre commercial Odysseum.",43.565401,4.192973
Aigues-Mortes,App design au centre des remparts d’Aigues-Mortes.,https://www.booking.com/hotel/fr/app-design-au-centre-des-remparts-d-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,150 m du centre,"25 Rue Emile Jamais, 30220 Aigues-Mortes, France",9.7,"App design au centre des remparts d’Aigues-Mortes. Il est situé dans le quartier médiéval d'Aigues-Mortes, à 24 km des arènes de Montpellier, du parc des expositions de Montpellier et du Zénith Sud de Montpellier. Il se trouve à 32 km du Corum et du musée Fabre.",43.565963239897,4.191758022027
Aigues-Mortes,AIGUES MARINES,https://www.booking.com/hotel/fr/aigues-marines-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,"2,4 km du centre","604 CHEMIN DE LA DRAILLE, 30220 Aigues-Mortes, France",9.7,"Bénéficiant d'une piscine, d'un bar, d'un jardin et d'une vue sur le jardin, l'AIGUES MARINES est situé à Aigues-Mortes et propose des hébergements avec connexion Wi-Fi gratuite.",43.558937,4.218141000000005
Aigues-Mortes,Chambre à 500 m des remparts,https://www.booking.com/hotel/fr/valerie-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"1,2 km du centre","551 Chemin du Bosquet, 30220 Aigues-Mortes, France",9.7,"Offrant une vue sur son jardin, la Chambre à 500 m des remparts est située à Aigues-Mortes, à 25 km du parc des expositions de Montpellier et à 29 km du Zénith Sud Montpellier. Cet hébergement climatisé se trouve à 25 km de la salle omnisports Montpellier Arena. Vous bénéficierez d'un parking privé sur place et d'une connexion Wi-Fi gratuite.",43.5658193,4.2053528
Aigues-Mortes,Superbe appartement de caractère au calme,https://www.booking.com/hotel/fr/superbe-appartement-de-caractere-au-calme.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,50 m du centre,"Mme Tabouret, Etage 2 16 Rue Alsace Lorraine, 30220 Aigues-Mortes, France",9.5,"Situé à Aigues-Mortes, à 24 km des arènes de Montpellier et du parc des expositions de Montpellier, le Superbe appartement de caractère au calme propose un hébergement climatisé avec une terrasse et une connexion Wi-Fi gratuite. Il est situé à 28 km du Zénith Sud Montpellier et dispose d'un service de concierge.",43.566959,4.1909484
Aigues-Mortes,Lou Mirèio,https://www.booking.com/hotel/fr/42-rue-pasteur.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,200 m du centre,"42 Rue Pasteur, 30220 Aigues-Mortes, France",9.4,"Situé à Aigues-Mortes, à seulement 24 km de la salle omnisports Montpellier Arena, le Lou Mirèio propose un hébergement avec vue sur la ville, connexion Wi-Fi et parking privé gratuits. Cet hébergement climatisé se trouve à 24 km du parc des expositions de Montpellier.",43.566074978303,4.192578573016
Aigues-Mortes,Bel Appartement Terrasse 4 Étoiles Intra Muros,https://www.booking.com/hotel/fr/bel-appartement-terrasse-intra-muros.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,100 m du centre,"7, rue de la République, 30220 Aigues-Mortes, France",9.3,"Situé dans le quartier médiéval d'Aigues-Mortes à Aigues-Mortes, le Bel Appartement Terrasse 4 Étoiles Intra Muros dispose de la climatisation, d'une terrasse et d'une vue sur le jardin. Offrant une vue sur la ville, il dispose d'une terrasse et d'une connexion Wi-Fi gratuite.",43.567186765999296,4.1913441711643245
Aigues-Mortes,"La maison de Marie, maison de ville 4 personnes, option chambre patio 2 pers supp",https://www.booking.com/hotel/fr/la-maison-de-marie-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,150 m du centre,"29 Rue de la République, 30220 Aigues-Mortes, France",9.2,"Situé à Aigues-Mortes, à 24 km des arènes de Montpellier et du parc des expositions de Montpellier, l'établissement La maison de Marie, maison de ville 4 personnes, option chambre patio 2 pers supp propose un hébergement climatisé avec une terrasse et une connexion Wi-Fi gratuite. Vous profiterez d'un balcon et d'un barbecue.",43.566891781032,4.192115673228
Aigues-Mortes,La Villa Mazarin,https://www.booking.com/hotel/fr/la-villa-mazarin.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,250 m du centre,"35 boulevard Gambetta, 30220 Aigues-Mortes, France",9.1,Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Villa Mazarin !,43.564986619645,4.191751956841475
Aigues-Mortes,Mas Tarquin,https://www.booking.com/hotel/fr/frederic-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,"2,3 km du centre","121 Chemin de Cartouche, 30220 Aigues-Mortes, France",9.0,"Situé à Aigues-Mortes, à 26 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, le Mas Tarquin dispose d'un jardin et de la climatisation. La région est prisée pour pratiquer la pêche et la randonnée.",43.5610440800289,4.21780586242676
